Java Code,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
org.apache.commons.lang3.ArrayUtils,70500.0,0.0,376.0,235.0,0.9915555555555556,0.4547872340425531
org.apache.commons.lang3.StringUtils,29161.0,0.0,242.0,127.0,0.9610995850622408,0.3884297520661157
org.apache.commons.lang3.SystemProperties,19701.0,0.0,199.0,3.0,0.9999198332531666,0.0150753768844221
org.apache.commons.lang3.text.StrBuilder,11109.0,7853.0,79.0,47.0,0.8890532544378699,0.2705882352941176
org.apache.commons.lang3.builder.ToStringStyle,10703.0,10528.0,95.0,34.0,0.9886008457437028,0.2297297297297297
org.apache.commons.lang3.time.FastDatePrinter,4094.0,3628.0,40.0,31.0,0.9802005012531328,0.1979166666666666
org.apache.commons.lang3.reflect.TypeUtils,3033.0,2985.0,64.0,12.0,0.9786324786324786,0.1265822784810126
org.apache.commons.lang3.math.NumberUtils,2211.0,0.0,67.0,28.0,1.0122655122655122,0.417910447761194
org.apache.commons.lang3.ClassUtils,2077.0,2074.0,63.0,33.0,0.9928977272727272,0.4461538461538462
org.apache.commons.lang3.time.DateUtils,2013.0,2010.0,62.0,16.0,1.0,0.25
org.apache.commons.lang3.text.StrTokenizer,1906.0,1796.0,38.0,4.0,0.9552669552669552,0.0625
org.apache.commons.lang3.time.FastDateParser,1646.0,1339.0,25.0,21.0,0.973702664796634,0.2539682539682539
org.apache.commons.lang3.text.StrSubstitutor,1446.0,1407.0,39.0,7.0,0.9562289562289562,0.0727272727272727
org.apache.commons.lang3.Validate,1431.0,0.0,54.0,54.0,0.9962264150943396,0.925925925925926
org.apache.commons.lang3.ObjectUtils,1378.0,0.0,53.0,39.0,0.9807692307692308,0.7358490566037735
org.apache.commons.lang3.time.StopWatch,1193.0,1111.0,35.0,16.0,0.93,0.3137254901960784
org.apache.commons.lang3.BooleanUtils,1081.0,0.0,47.0,38.0,0.903726708074534,0.4893617021276595
org.apache.commons.lang3.Strings,1000.0,965.0,38.0,22.0,0.974074074074074,0.4347826086956521
org.apache.commons.lang3.Conversion,903.0,0.0,43.0,30.0,0.9761904761904762,0.6744186046511628
org.apache.commons.lang3.RandomStringUtils,885.0,780.0,31.0,4.0,0.9681818181818184,0.0888888888888888
